date,fertilizer_price,forecast,volatility,pct_change,alert
2024-05-01,939.16,,,0.0,
2024-05-01,,919.5466077870354,,1.4306102995211845,
2024-06-01,,934.3659630758484,,1.6115937096953692,
2024-06-01,977.4,,,0.0,
2024-07-01,,894.967421328029,,-4.21660712234454,
2024-07-01,906.9,,,0.0,
2024-08-01,,896.9014918137066,,0.21610512735845688,
2024-08-01,898.77,,,0.0,
2024-09-01,,896.8275927820273,,-0.00823936991450891,
2024-09-01,880.58,,,0.0,
2024-10-01,857.56,,,0.0,
2024-10-01,,888.5644362201909,,-0.9213762632128031,
2024-11-01,914.8,,,0.0,
2024-11-01,,926.1993199317852,,4.23547040343939,
2024-12-01,,931.6664063268656,,0.5902710439781966,
2024-12-01,925.04,,,0.0,
2025-01-01,,903.0735247199292,,-3.0690042501011816,
2025-02-01,,902.9907865339544,,-0.009161843826666072,
2025-03-01,,886.5195377630534,9.533654124981972,-1.8240771685084756,
2025-04-01,,908.0628852408904,11.263096391287583,2.430104082330442,
2025-05-01,,907.4853288810284,12.27472870781117,-0.06360312366568976,
2025-06-01,,923.9061063958188,9.318289919141451,1.8094813207655935,
2025-07-01,,902.4264236266908,11.229508956502247,-2.3248772381125105,
2025-08-01,,901.4715464977704,12.68593735869778,-0.10581218633680667,
2025-09-01,,900.3702514420654,1.02895458142799,-0.12216636897565136,
2025-10-01,,897.7005072107457,1.9391201769800892,-0.2965162639529395,
2025-11-01,,925.1034408108944,15.109483558950577,3.0525696911203326,
2025-12-01,,914.0536750157412,13.786733909089754,-1.1944357039108677,
